,Model,Framework,Median Latency [s],StdDev [ms],Score
0,MobileNetV2,TFLite,0.0423271455000531,0.40430627549500003,0.8542
1,MobileNetV3 Large,TFLite,0.0385888780000129,0.4632320648796,0.8559
2,MobileNetV3 Small,TFLite,0.0124004550000051,0.12300562013800001,0.8037
3,Yolov5l,TFLite,6.553858817999753,79.7255553201709,0.361
4,Yolov5m,TFLite,2.7693464495000626,70.122225349544,0.318
5,Yolov5n,TFLite,0.3235921939995023,4.2263757637538,0.154
6,Yolov5s,TFLite,0.9520694604998426,10.3388662824638,0.238
7,Yolov5s,OpenVINO,0.9891115945010824,13.0110035934325,0.289
8,Yolov5m,OpenVINO,2.0186091095001757,41.140124059225094,0.36
9,Yolov5n,OpenVINO,0.4473713335028151,3.3283577168519,0.184
10,Yolov5l,OpenVINO,4.0767286889995376,171.8163030999566,0.401
11,MobileNetV2,OpenVINO,0.1003923215000099,1.0391244562352,0.8768
12,MobileNetV3 Large,OpenVINO,0.0494937884999444,0.4328860956112,0.8739
13,MobileNetV3 Small,OpenVINO,0.0205918490000271,0.30393980886759997,0.7999
14,DeeplabV3,OpenVINO,1.4151439690003826,1.6749630160789,69.737
15,DeeplabV3,TFLite,1.5444635610000432,5.1814977438750995,60.854
