model_name,os,api,inference type,latency avg,top1,top5,map,miou,latency,thread count
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0150099659430051,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_18_55_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0092678795389328,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_19_25_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0073078981100733,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_20_2_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v3_small_100_224_uint8_1,ubuntus,tf,class,0.0066351277700086,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_uint8_1/lite-model_mobilenet_v3_small_100_224_uint8_1_tf_class_2024_4_22_20_32_ubuntus_4_onlylat.csv,4
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0194159381429871,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_16_51_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0143632218960264,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_17_26_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.0124269487009841,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_17_56_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v3_small_100_224_fp32_1,ubuntus,tf,class,0.011780912874059,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_small_100_224_fp32_1/lite-model_mobilenet_v3_small_100_224_fp32_1_tf_class_2024_4_22_18_25_ubuntus_4_onlylat.csv,4
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0480333823650134,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_14_45_ubuntus_1_onlylat.csv,1
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0274075748279955,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_15_15_ubuntus_2_onlylat.csv,2
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.0204590751989689,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_15_51_ubuntus_3_onlylat.csv,3
lite-model_mobilenet_v3_large_100_224_uint8_1,ubuntus,tf,class,0.017206222468015717,,,,,/Users/marounel-chayeb/BacArbeit/final_results/results/class/tf/lite-model_mobilenet_v3_large_100_224_uint8_1/lite-model_mobilenet_v3_large_100_224_uint8_1_tf_class_2024_4_22_16_21_ubuntus_4_onlylat.csv,4
