,api,latency avg,thread count,load
0,onnx,0.1161566853820005,1,default
1,onnx,0.0820787913809908,4,default
2,onnx,0.0847549268319987,3,default
3,onnx,0.0903953654509984,2,default
4,onnx,0.082246985369999,False,default
5,ov,0.0479397422809983,False,default
6,ov,0.0509913259010033,3,default
7,ov,0.0583515133789987,2,default
8,ov,0.0805561009859916,1,default
9,ov,0.048061176216996,4,default
10,delegate,0.0435639566129966,4,default
11,delegate,0.0659913477109994,1,default
12,delegate,0.0511385932030022,2,default
13,delegate,0.0434001170709797,False,default
14,delegate,0.0456061271640016,3,default
20,tf,0.0373705926220081,4,default
21,tf,0.043961000051006,2,default
22,tf,0.0383728447200005,3,default
23,tf,0.0622351217420002,1,default
24,tf,0.0631363391989879,False,default
25,onnx,0.1865504084169806,3,three
26,onnx,0.1527125218389901,2,three
27,onnx,0.2134092125419965,4,three
28,onnx,0.2164648143620943,False,three
29,onnx,0.1289522751729919,1,three
30,ov,0.0681226615010091,4,three
31,ov,0.080084867484993,2,three
32,ov,0.0689857582790718,False,three
33,ov,0.0735781894289739,3,three
34,ov,0.0915103008259884,1,three
35,delegate,0.0862069950459972,3,three
36,delegate,0.0741350276910043,1,three
37,delegate,0.0807639500869863,4,three
38,delegate,0.0878180380900011,False,three
39,delegate,0.0839241199710122,2,three
45,tf,0.6065201287330015,2,three
46,tf,0.0755894631151531,False,three
47,tf,0.0757335246969997,1,three
48,tf,0.8444606675689961,3,three
49,tf,0.9266758282720088,4,three
50,onnx,0.0938405806019977,2,one
51,onnx,0.1492147220920092,False,one
52,onnx,0.139374537200998,4,one
53,onnx,0.1177095404899984,1,one
54,onnx,0.0898111342210029,3,one
55,ov,0.0551402397980013,False,one
56,ov,0.0535334376700006,3,one
57,ov,0.0841075399879989,1,one
58,ov,0.0610505718399999,2,one
59,ov,0.0552967977470008,4,one
60,delegate,0.0694007530249989,1,one
61,delegate,0.0481659273099944,3,one
62,delegate,0.0538901142509943,2,one
63,delegate,0.058828134468998,4,one
64,delegate,0.0612019066190036,False,one
70,tf,0.0671744832719994,1,one
71,tf,0.0427529789760004,3,one
72,tf,0.0782631239480396,False,one
73,tf,0.0482589059050014,2,one
74,tf,0.4158321084219981,4,one
75,onnx,0.198314172831002,False,two
76,onnx,0.0989384927610117,2,two
77,onnx,0.1829838508889852,4,two
78,onnx,0.1440088065620029,3,two
79,onnx,0.1244575558350142,1,two
80,ov,0.0655716295209858,2,two
81,ov,0.0613546758569754,4,two
82,ov,0.0879977231440097,1,two
83,ov,0.0637651922650019,3,two
84,ov,0.0615807318019978,False,two
85,delegate,0.0645108369970066,False,two
86,delegate,0.0717871504610211,1,two
87,delegate,0.0668101384560077,3,two
88,delegate,0.0628922589029861,4,two
89,delegate,0.055207366567014,2,two
95,tf,0.4210470139629933,3,two
96,tf,0.0782631239480396,False,two
97,tf,0.7212720141779883,4,two
98,tf,0.071276652765021,1,two
99,tf,0.0520221731269993,2,two
