Inf number: 1,6218.744162999999,background,aeroplane
Inf number: 2,6128.938792999999,background,car,cow,person
Inf number: 3,6116.869496,background,aeroplane
Inf number: 4,6130.236682,background,person
Inf number: 5,6128.862811,background,aeroplane
Inf number: 6,6160.358126,background,motorbike,person
Inf number: 7,6127.629441,background,boat
Inf number: 8,6132.7732000000005,background,cat
Inf number: 9,6127.052070000001,background,bottle,cat
Inf number: 10,6127.426996,background,bottle,person
Inf number: 11,6127.911959,background,cat,dog,person
Inf number: 12,6128.258664,background,chair,dog
Inf number: 13,6126.259236999999,background,cow
Inf number: 14,6133.700534,background,person
Inf number: 15,6133.885478,background,bicycle,person
Inf number: 16,6129.325811,background,tv
Inf number: 17,6131.155533,background,person
Inf number: 18,6131.493256,background,tv
Inf number: 19,6130.133014999999,background,bird
Inf number: 20,6134.955274,background,chair,horse,person
Inf number: 21,6126.708182,background,sheep
Inf number: 22,6136.326792999999,background,person,train
Inf number: 23,6140.779496,background,train
Inf number: 24,6143.6832,background,aeroplane,person
Inf number: 25,6191.493385,background,bottle,person
Inf number: 26,6156.134071,background,bird
Inf number: 27,6122.794663,background,bottle,diningtable
Inf number: 28,6133.7489780000005,background,train
Inf number: 29,6125.192256,background,boat
Inf number: 30,6129.525755,background,chair,person,sofa
Inf number: 31,6170.625236999999,background,boat
Inf number: 32,6127.9622,background,bicycle,car,person,pottedplant
Inf number: 33,6180.086274,background,dog,horse
Inf number: 34,6139.759829,background,horse,person
Inf number: 35,6221.753811,background,cow,dog
Inf number: 36,6133.185219,background,aeroplane,person
Inf number: 37,6131.682812,background,tv
